,Name,MC_USD_Billion,MC_EUR_Billion,MC_GBP_Billion,MC_INR_Billion
0,JPMorgan Chase,432.9,402.6,346.32,35909.06
1,Bank of America,231.5,215.3,185.2,19202.92
2,Industrial and Commercial Bank of China,194.5,180.89,155.6,16133.78
3,Agricultural Bank of China,160.6,149.36,128.48,13321.77
4,HDFC Bank,157.9,146.85,126.32,13097.8
5,Wells Fargo,155.8,144.89,124.64,12923.61
6,HSBC Holdings PLC,148.9,138.48,119.12,12351.26
7,Morgan Stanley,140.8,130.94,112.64,11679.36
8,China Construction Bank,139.8,130.01,111.84,11596.41
9,Bank of China,136.8,127.22,109.44,11347.56
